Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Internal Data Table,Firefox 69.0,,,2019-10-22 11:39:00,2019-10-22 11:39:16,16.579s,INCOMPLETE
,,,,,,,
Test Cases/Internal Data,Firefox 69.0,,,2019-10-22 11:39:00,2019-10-22 11:39:16,16.328s,PASSED
"openBrowser(""http://executeautomation.com/demosite/Login.html"")",Firefox 69.0,,,2019-10-22 11:39:00,2019-10-22 11:39:08,7.783s,PASSED
"setText(findTestObject(""Test2_OR/Page_Execute Automation/input_Login_UserName""), username)",Firefox 69.0,,,2019-10-22 11:39:08,2019-10-22 11:39:08,0.273s,PASSED
"setText(findTestObject(""Test2_OR/Page_Execute Automation/input_Login_Password""), password)",Firefox 69.0,,,2019-10-22 11:39:08,2019-10-22 11:39:09,0.192s,PASSED
"click(findTestObject(""Test2_OR/Page_Execute Automation/input_Login_Login""))",Firefox 69.0,,,2019-10-22 11:39:09,2019-10-22 11:39:09,0.526s,PASSED
"selectOptionByValue(findTestObject(""Test2_OR/Page_Execute Automation/select_SelectMrMs""), ""2"", true)",Firefox 69.0,,,2019-10-22 11:39:09,2019-10-22 11:39:10,0.651s,PASSED
"setText(findTestObject(""Test2_OR/Page_Execute Automation/input_Initial_Initial""), ""N"")",Firefox 69.0,,,2019-10-22 11:39:10,2019-10-22 11:39:10,0.132s,PASSED
"setText(findTestObject(""Test2_OR/Page_Execute Automation/input__FirstName""), ""Hema"")",Firefox 69.0,,,2019-10-22 11:39:10,2019-10-22 11:39:10,0.133s,PASSED
"setText(findTestObject(""Test2_OR/Page_Execute Automation/input_Middle Name_MiddleName""), ""vathi"")",Firefox 69.0,,,2019-10-22 11:39:10,2019-10-22 11:39:10,0.125s,PASSED
"click(findTestObject(""Test2_OR/Page_Execute Automation/input_MaleFemale_Female""))",Firefox 69.0,,,2019-10-22 11:39:10,2019-10-22 11:39:10,0.310s,PASSED
"click(findTestObject(""Test2_OR/Page_Execute Automation/input_EnglishHindi_english""))",Firefox 69.0,,,2019-10-22 11:39:10,2019-10-22 11:39:11,0.320s,PASSED
"click(findTestObject(""Test2_OR/Page_Execute Automation/input_EnglishHindi_Save""))",Firefox 69.0,,,2019-10-22 11:39:11,2019-10-22 11:39:11,0.296s,PASSED
closeBrowser(),Firefox 69.0,,,2019-10-22 11:39:11,2019-10-22 11:39:14,3.097s,PASSED
