Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuiteForDataDrivenTests,Firefox 69.0,,,2019-12-06 15:47:08,2019-12-06 15:50:16,3m - 8.681s,INCOMPLETE
,,,,,,,
Test Cases/DataDrivenTest/Test5_DatadrivenTest,Firefox 69.0,,,2019-12-06 15:47:08,2019-12-06 15:47:38,30.016s,PASSED
"openBrowser("""")",Firefox 69.0,,,2019-12-06 15:47:09,2019-12-06 15:47:15,6.189s,PASSED
"navigateToUrl(""https://www.phptravels.net/login"")",Firefox 69.0,,,2019-12-06 15:47:15,2019-12-06 15:47:18,3.386s,PASSED
"for ([rowNum = 1, rowNum <= findTestData(""Data1"").getRowNumbers(), (rowNum++)])",Firefox 69.0,,,2019-12-06 15:47:18,2019-12-06 15:47:36,17.553s,PASSED
"click(findTestObject(""Test5_OR/Page_Login/button_Login""))",Firefox 69.0,,,2019-12-06 15:47:36,2019-12-06 15:47:36,0.331s,PASSED
,,,,,,,
Test Cases/DataDrivenTest/Test5_DatadrivenTest,Firefox 69.0,,,2019-12-06 15:47:38,2019-12-06 15:48:42,1m - 3.407s,PASSED
"openBrowser("""")",Firefox 69.0,,,2019-12-06 15:47:38,2019-12-06 15:47:55,17.267s,PASSED
"navigateToUrl(""https://www.phptravels.net/login"")",Firefox 69.0,,,2019-12-06 15:47:55,2019-12-06 15:48:23,27.134s,PASSED
"for ([rowNum = 1, rowNum <= findTestData(""Data1"").getRowNumbers(), (rowNum++)])",Firefox 69.0,,,2019-12-06 15:48:23,2019-12-06 15:48:39,16.535s,PASSED
"click(findTestObject(""Test5_OR/Page_Login/button_Login""))",Firefox 69.0,,,2019-12-06 15:48:39,2019-12-06 15:48:39,0.323s,PASSED
,,,,,,,
Test Cases/DataDrivenTest/Test5_DatadrivenTest,Firefox 69.0,,,2019-12-06 15:48:42,2019-12-06 15:49:16,34.546s,PASSED
"openBrowser("""")",Firefox 69.0,,,2019-12-06 15:48:42,2019-12-06 15:48:54,12.037s,PASSED
"navigateToUrl(""https://www.phptravels.net/login"")",Firefox 69.0,,,2019-12-06 15:48:54,2019-12-06 15:48:57,3.654s,PASSED
"for ([rowNum = 1, rowNum <= findTestData(""Data1"").getRowNumbers(), (rowNum++)])",Firefox 69.0,,,2019-12-06 15:48:57,2019-12-06 15:49:14,16.457s,PASSED
"click(findTestObject(""Test5_OR/Page_Login/button_Login""))",Firefox 69.0,,,2019-12-06 15:49:14,2019-12-06 15:49:14,0.326s,PASSED
,,,,,,,
Test Cases/DataDrivenTest/Test5_DatadrivenTest,Firefox 69.0,,,2019-12-06 15:49:16,2019-12-06 15:49:48,31.347s,PASSED
"openBrowser("""")",Firefox 69.0,,,2019-12-06 15:49:16,2019-12-06 15:49:24,7.723s,PASSED
"navigateToUrl(""https://www.phptravels.net/login"")",Firefox 69.0,,,2019-12-06 15:49:24,2019-12-06 15:49:29,4.673s,PASSED
"for ([rowNum = 1, rowNum <= findTestData(""Data1"").getRowNumbers(), (rowNum++)])",Firefox 69.0,,,2019-12-06 15:49:29,2019-12-06 15:49:45,16.522s,PASSED
"click(findTestObject(""Test5_OR/Page_Login/button_Login""))",Firefox 69.0,,,2019-12-06 15:49:45,2019-12-06 15:49:46,0.359s,PASSED
,,,,,,,
Test Cases/DataDrivenTest/Test5_DatadrivenTest,Firefox 69.0,,,2019-12-06 15:49:48,2019-12-06 15:50:16,28.904s,PASSED
"openBrowser("""")",Firefox 69.0,,,2019-12-06 15:49:48,2019-12-06 15:49:55,7.120s,PASSED
"navigateToUrl(""https://www.phptravels.net/login"")",Firefox 69.0,,,2019-12-06 15:49:55,2019-12-06 15:49:58,2.967s,PASSED
"for ([rowNum = 1, rowNum <= findTestData(""Data1"").getRowNumbers(), (rowNum++)])",Firefox 69.0,,,2019-12-06 15:49:58,2019-12-06 15:50:14,16.400s,PASSED
"click(findTestObject(""Test5_OR/Page_Login/button_Login""))",Firefox 69.0,,,2019-12-06 15:50:14,2019-12-06 15:50:14,0.328s,PASSED
